SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO
H,00 A 04,ARGENTINA,2019,13,LOS RÍOS,5.0,2.0,,2.0,7,2019,ARG,53.5483043492339,-2.00086100285785,9.843
H,00 A 04,ARGENTINA,2019,14,LOS LAGOS,20.0,5.0,,5.0,25,2019,ARG,53.5483043492339,-2.00086100285785,9.843
H,00 A 04,ARGENTINA,2019,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,5.0,1.0,,1.0,6,2019,ARG,53.5483043492339,-2.00086100285785,9.843
H,00 A 04,ARGENTINA,2019,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,10.0,2.0,,2.0,12,2019,ARG,53.5483043492339,-2.00086100285785,9.843
H,00 A 04,ARGENTINA,2019,17,REGIÓN IGNORADA,,31.0,,31.0,31,2019,ARG,53.5483043492339,-2.00086100285785,9.843
H,00 A 04,ARGENTINA,2020,1,ARICA Y PARINACOTA,1.0,,,,1,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,2,TARAPACÁ,2.0,3.0,1.0,4.0,6,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,3,ANTOFAGASTA,6.0,4.0,,4.0,10,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,4,ATACAMA,1.0,2.0,,2.0,3,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,5,COQUIMBO,4.0,5.0,1.0,6.0,10,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,6,VALPARAÍSO,20.0,14.0,1.0,15.0,35,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,7,METROPOLITANA DE SANTIAGO,76.0,71.0,4.0,75.0,151,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,8.0,2.0,1.0,3.0,11,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,9,MAULE,3.0,5.0,1.0,6.0,9,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,10,ÑUBLE,,1.0,,1.0,1,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,11,BIOBÍO,8.0,1.0,,1.0,9,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,12,LA ARAUCANÍA,6.0,2.0,,2.0,8,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,13,LOS RÍOS,3.0,3.0,1.0,4.0,7,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,14,LOS LAGOS,8.0,7.0,1.0,8.0,16,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,3.0,3.0,,3.0,6,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,7.0,1.0,,1.0,8,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2020,17,REGIÓN IGNORADA,,34.0,,34.0,34,2020,ARG,42.0150947376509,-9.9004848136464,11.461
H,00 A 04,ARGENTINA,2021,1,ARICA Y PARINACOTA,1.0,,,,1,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,2,TARAPACÁ,1.0,1.0,1.0,2.0,3,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,3,ANTOFAGASTA,3.0,2.0,3.0,5.0,8,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,4,ATACAMA,,1.0,,1.0,1,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,5,COQUIMBO,1.0,1.0,1.0,2.0,3,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,6,VALPARAÍSO,8.0,10.0,3.0,13.0,21,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,7,METROPOLITANA DE SANTIAGO,26.0,53.0,5.0,58.0,84,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,5.0,4.0,,4.0,9,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,9,MAULE,1.0,1.0,2.0,3.0,4,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,11,BIOBÍO,3.0,3.0,,3.0,6,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,12,LA ARAUCANÍA,1.0,3.0,,3.0,4,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,13,LOS RÍOS,,5.0,,5.0,5,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,14,LOS LAGOS,4.0,5.0,,5.0,9,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,,2.0,,2.0,2,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,3.0,1.0,,1.0,4,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2021,17,REGIÓN IGNORADA,,43.0,1.0,44.0,44,2021,ARG,48.4093786255199,10.4418119882506,8.736
H,00 A 04,ARGENTINA,2022,2,TARAPACÁ,,2.0,,2.0,2,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,3,ANTOFAGASTA,,1.0,1.0,2.0,2,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,4,ATACAMA,,3.0,,3.0,3,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,6,VALPARAÍSO,,7.0,4.0,11.0,11,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,7,METROPOLITANA DE SANTIAGO,,62.0,11.0,73.0,73,2022,ARG,72.430757531824,5.26987967384072,6.805
H,00 A 04,ARGENTINA,2022,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,,5.0,2.0,7.0,7,2022,ARG,72.430757531824,5.26987967384072,6.805
