SEXO,EDAD,EDAD_NUMERICA,PAIS,PAIS_CODIGO,PAIS_ISO,ANIO,CODREGEO,REGION,CENSO_AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION
1,00 A 04,2,ARGENTINA,1,AR,2020,1,ARICA Y PARINACOTA,1.0,0.0,0.0,0.0,1
1,00 A 04,2,ARGENTINA,1,AR,2020,2,TARAPACÁ,2.0,3.0,1.0,4.0,6
1,00 A 04,2,ARGENTINA,1,AR,2020,3,ANTOFAGASTA,6.0,4.0,0.0,4.0,10
1,00 A 04,2,ARGENTINA,1,AR,2020,4,ATACAMA,1.0,2.0,0.0,2.0,3
1,00 A 04,2,ARGENTINA,1,AR,2020,5,COQUIMBO,4.0,5.0,1.0,6.0,10
1,00 A 04,2,ARGENTINA,1,AR,2020,6,VALPARAÍSO,20.0,14.0,1.0,15.0,35
1,00 A 04,2,ARGENTINA,1,AR,2020,7,METROPOLITANA DE SANTIAGO,76.0,71.0,4.0,75.0,151
1,00 A 04,2,ARGENTINA,1,AR,2020,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,8.0,2.0,1.0,3.0,11
1,00 A 04,2,ARGENTINA,1,AR,2020,9,MAULE,3.0,5.0,1.0,6.0,9
1,00 A 04,2,ARGENTINA,1,AR,2020,10,ÑUBLE,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ARGENTINA,1,AR,2020,11,BIOBÍO,8.0,1.0,0.0,1.0,9
1,00 A 04,2,ARGENTINA,1,AR,2020,12,LA ARAUCANÍA,6.0,2.0,0.0,2.0,8
1,00 A 04,2,ARGENTINA,1,AR,2020,13,LOS RÍOS,3.0,3.0,1.0,4.0,7
1,00 A 04,2,ARGENTINA,1,AR,2020,14,LOS LAGOS,8.0,7.0,1.0,8.0,16
1,00 A 04,2,ARGENTINA,1,AR,2020,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,3.0,3.0,0.0,3.0,6
1,00 A 04,2,ARGENTINA,1,AR,2020,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,7.0,1.0,0.0,1.0,8
1,00 A 04,2,ARGENTINA,1,AR,2020,17,REGIÓN IGNORADA,0.0,34.0,0.0,34.0,34
1,00 A 04,2,ARGENTINA,1,AR,2021,1,ARICA Y PARINACOTA,1.0,0.0,0.0,0.0,1
1,00 A 04,2,ARGENTINA,1,AR,2021,2,TARAPACÁ,1.0,1.0,1.0,2.0,3
1,00 A 04,2,ARGENTINA,1,AR,2021,3,ANTOFAGASTA,3.0,2.0,3.0,5.0,8
1,00 A 04,2,ARGENTINA,1,AR,2021,4,ATACAMA,0.0,1.0,0.0,1.0,1
1,00 A 04,2,ARGENTINA,1,AR,2021,5,COQUIMBO,1.0,1.0,1.0,2.0,3
1,00 A 04,2,ARGENTINA,1,AR,2021,6,VALPARAÍSO,8.0,10.0,3.0,13.0,21
1,00 A 04,2,ARGENTINA,1,AR,2021,7,METROPOLITANA DE SANTIAGO,26.0,53.0,5.0,58.0,84
1,00 A 04,2,ARGENTINA,1,AR,2021,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,5.0,4.0,0.0,4.0,9
1,00 A 04,2,ARGENTINA,1,AR,2021,9,MAULE,1.0,1.0,2.0,3.0,4
1,00 A 04,2,ARGENTINA,1,AR,2021,11,BIOBÍO,3.0,3.0,0.0,3.0,6
1,00 A 04,2,ARGENTINA,1,AR,2021,12,LA ARAUCANÍA,1.0,3.0,0.0,3.0,4
1,00 A 04,2,ARGENTINA,1,AR,2021,13,LOS RÍOS,0.0,5.0,0.0,5.0,5
1,00 A 04,2,ARGENTINA,1,AR,2021,14,LOS LAGOS,4.0,5.0,0.0,5.0,9
1,00 A 04,2,ARGENTINA,1,AR,2021,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,0.0,2.0,0.0,2.0,2
1,00 A 04,2,ARGENTINA,1,AR,2021,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,3.0,1.0,0.0,1.0,4
1,00 A 04,2,ARGENTINA,1,AR,2021,17,REGIÓN IGNORADA,0.0,43.0,1.0,44.0,44
1,00 A 04,2,ARGENTINA,1,AR,2022,2,TARAPACÁ,0.0,2.0,0.0,2.0,2
1,00 A 04,2,ARGENTINA,1,AR,2022,3,ANTOFAGASTA,0.0,1.0,1.0,2.0,2
1,00 A 04,2,ARGENTINA,1,AR,2022,4,ATACAMA,0.0,3.0,0.0,3.0,3
1,00 A 04,2,ARGENTINA,1,AR,2022,6,VALPARAÍSO,0.0,7.0,4.0,11.0,11
1,00 A 04,2,ARGENTINA,1,AR,2022,7,METROPOLITANA DE SANTIAGO,0.0,62.0,11.0,73.0,73
1,00 A 04,2,ARGENTINA,1,AR,2022,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,0.0,5.0,2.0,7.0,7
