SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO,region_norm,pais_norm,sexo_norm,edad_norm,anio,pais_norm_merge,ACOGIDAS_TOTAL,RESUELTAS_ARCHIVA,RESUELTAS_OTORGA,RESUELTAS_RECHAZA_RT,RESUELTAS_RECHAZA_ABANDONO,RESUELTAS_TOTAL,TASA_OTORGA,TASA_RECHAZO,TASA_ARCHIVO,ACOGIDAS_LAG1,RESUELTAS_LAG1,TASA_REGULARIZACION,PROP_ESTIMACION_GRUPO,ACOGIDAS_PER_CAPITA,RESUELTAS_PER_CAPITA
H,60 A 64,ALEMANIA,2018,3,ANTOFAGASTA,3.0,,,,3,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,60 a 64,2018,alemania,,,,,,,,,,,,,0.04411764705882353,,
H,60 A 64,ALEMANIA,2019,3,ANTOFAGASTA,2.0,,,,2,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,60 a 64,2019,alemania,,,,,,,,,,,,,0.028985507246376812,,
H,60 A 64,ALEMANIA,2020,3,ANTOFAGASTA,2.0,,,,2,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,60 a 64,2020,alemania,,,,,,,,,,,,,0.02666666666666667,,
H,60 A 64,ALEMANIA,2021,3,ANTOFAGASTA,1.0,1.0,,1.0,2,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,60 a 64,2021,alemania,,,,,,,,,,,,0.49999999975,0.02531645569620253,,
H,60 A 64,ALEMANIA,2022,3,ANTOFAGASTA,2.0,2.0,,2.0,4,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,60 a 64,2022,alemania,,,,,,,,,,,,0.499999999875,0.05128205128205128,,
H,60 A 64,ALEMANIA,2023,3,ANTOFAGASTA,1.0,1.0,,1.0,2,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,60 a 64,2023,alemania,,,,,,,,,,,,0.49999999975,0.025,,
H,65 A 69,ALEMANIA,2018,3,ANTOFAGASTA,1.0,,,,1,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,65 a 69,2018,alemania,,,,,,,,,,,,,0.014705882352941176,,
H,65 A 69,ALEMANIA,2019,3,ANTOFAGASTA,2.0,,,,2,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,65 a 69,2019,alemania,,,,,,,,,,,,,0.028985507246376812,,
H,65 A 69,ALEMANIA,2020,3,ANTOFAGASTA,2.0,,1.0,1.0,3,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,65 a 69,2020,alemania,,,,,,,,,,,,0.3333333332222222,0.04,,
H,65 A 69,ALEMANIA,2021,3,ANTOFAGASTA,2.0,,1.0,1.0,3,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,65 a 69,2021,alemania,,,,,,,,,,,,0.3333333332222222,0.0379746835443038,,
H,65 A 69,ALEMANIA,2022,3,ANTOFAGASTA,2.0,,,,2,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,65 a 69,2022,alemania,,,,,,,,,,,,,0.02564102564102564,,
H,65 A 69,ALEMANIA,2023,3,ANTOFAGASTA,3.0,,,,3,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,65 a 69,2023,alemania,,,,,,,,,,,,,0.0375,,
H,70 A 74,ALEMANIA,2021,3,ANTOFAGASTA,1.0,,,,1,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,70 a 74,2021,alemania,,,,,,,,,,,,,0.012658227848101266,,
H,70 A 74,ALEMANIA,2022,3,ANTOFAGASTA,1.0,,1.0,1.0,2,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,70 a 74,2022,alemania,,,,,,,,,,,,0.49999999975,0.02564102564102564,,
H,70 A 74,ALEMANIA,2023,3,ANTOFAGASTA,1.0,,1.0,1.0,2,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,70 a 74,2023,alemania,,,,,,,,,,,,0.49999999975,0.025,,
H,75 A 79,ALEMANIA,2018,3,ANTOFAGASTA,1.0,,,,1,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,75 a 79,2018,alemania,,,,,,,,,,,,,0.014705882352941176,,
H,75 A 79,ALEMANIA,2019,3,ANTOFAGASTA,1.0,,,,1,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,75 a 79,2019,alemania,,,,,,,,,,,,,0.014492753623188406,,
H,75 A 79,ALEMANIA,2020,3,ANTOFAGASTA,1.0,,,,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,75 a 79,2020,alemania,,,,,,,,,,,,,0.013333333333333334,,
H,75 A 79,ALEMANIA,2021,3,ANTOFAGASTA,1.0,,,,1,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,75 a 79,2021,alemania,,,,,,,,,,,,,0.012658227848101266,,
H,80 O MÁS,ALEMANIA,2022,3,ANTOFAGASTA,1.0,,,,1,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,80 o más,2022,alemania,,,,,,,,,,,,,0.01282051282051282,,
H,80 O MÁS,ALEMANIA,2023,3,ANTOFAGASTA,1.0,,,,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,80 o más,2023,alemania,,,,,,,,,,,,,0.0125,,
M,00 A 04,ALEMANIA,2018,3,ANTOFAGASTA,1.0,,,,1,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,m,00 a 04,2018,alemania,,,,,,,,,,,,,0.014705882352941176,,
M,00 A 04,ALEMANIA,2021,3,ANTOFAGASTA,,1.0,,1.0,1,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,m,00 a 04,2021,alemania,,,,,,,,,,,,0.9999999989999999,0.012658227848101266,,
M,00 A 04,ALEMANIA,2022,3,ANTOFAGASTA,,1.0,,1.0,1,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,m,00 a 04,2022,alemania,,,,,,,,,,,,0.9999999989999999,0.01282051282051282,,
M,00 A 04,ALEMANIA,2023,3,ANTOFAGASTA,,1.0,,1.0,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,m,00 a 04,2023,alemania,,,,,,,,,,,,0.9999999989999999,0.0125,,
M,05 A 09,ALEMANIA,2018,3,ANTOFAGASTA,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,m,05 a 09,2018,alemania,,,,,,,,,,,,,0.029411764705882353,,
M,05 A 09,ALEMANIA,2019,3,ANTOFAGASTA,2.0,,,,2,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,m,05 a 09,2019,alemania,,,,,,,,,,,,,0.028985507246376812,,
M,05 A 09,ALEMANIA,2020,3,ANTOFAGASTA,2.0,,,,2,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,m,05 a 09,2020,alemania,,,,,,,,,,,,,0.02666666666666667,,
M,05 A 09,ALEMANIA,2021,3,ANTOFAGASTA,1.0,,,,1,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,m,05 a 09,2021,alemania,,,,,,,,,,,,,0.012658227848101266,,
M,05 A 09,ALEMANIA,2022,3,ANTOFAGASTA,1.0,,,,1,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,m,05 a 09,2022,alemania,,,,,,,,,,,,,0.01282051282051282,,
M,05 A 09,ALEMANIA,2023,3,ANTOFAGASTA,1.0,,,,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,m,05 a 09,2023,alemania,,,,,,,,,,,,,0.0125,,
M,10 A 14,ALEMANIA,2018,3,ANTOFAGASTA,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,m,10 a 14,2018,alemania,,,,,,,,,,,,,0.029411764705882353,,
M,10 A 14,ALEMANIA,2019,3,ANTOFAGASTA,3.0,,,,3,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,m,10 a 14,2019,alemania,,,,,,,,,,,,,0.043478260869565216,,
M,10 A 14,ALEMANIA,2020,3,ANTOFAGASTA,3.0,,,,3,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,m,10 a 14,2020,alemania,,,,,,,,,,,,,0.04,,
M,10 A 14,ALEMANIA,2021,3,ANTOFAGASTA,4.0,,,,4,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,m,10 a 14,2021,alemania,,,,,,,,,,,,,0.05063291139240506,,
M,10 A 14,ALEMANIA,2022,3,ANTOFAGASTA,3.0,,,,3,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,m,10 a 14,2022,alemania,,,,,,,,,,,,,0.038461538461538464,,
M,10 A 14,ALEMANIA,2023,3,ANTOFAGASTA,2.0,,,,2,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,m,10 a 14,2023,alemania,,,,,,,,,,,,,0.025,,
M,15 A 19,ALEMANIA,2018,3,ANTOFAGASTA,3.0,,,,3,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,m,15 a 19,2018,alemania,,,,,,,,,,,,,0.04411764705882353,,
M,15 A 19,ALEMANIA,2019,3,ANTOFAGASTA,3.0,,,,3,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,m,15 a 19,2019,alemania,,,,,,,,,,,,,0.043478260869565216,,
