"SEXO","EDAD","PAIS","AÑO ESTIMACION","CODREGEO","REGION","CENSO AJUSTADO","RRAA_REGULAR","RRAA_IRREGULAR","RRAA_TOTAL","ESTIMACION"
"H","00 A 04","ARGENTINA",2022,3,"ANTOFAGASTA","","1","1","2",2

"H","00 A 04","ARGENTINA",2022,4,"ATACAMA","","3","","3",3

"H","00 A 04","ARGENTINA",2022,6,"VALPARAÍSO","","7","4","11",11

"H","00 A 04","ARGENTINA",2022,7,"METROPOLITANA DE SANTIAGO","","62","11","73",73

"H","00 A 04","ARGENTINA",2022,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","","5","2","7",7

"H","00 A 04","ARGENTINA",2022,9,"MAULE","","1","1","2",2

"H","00 A 04","ARGENTINA",2022,11,"BIOBÍO","","4","","4",4

"H","00 A 04","ARGENTINA",2022,12,"LA ARAUCANÍA","","","1","1",1

"H","00 A 04","ARGENTINA",2022,13,"LOS RÍOS","","3","","3",3

"H","00 A 04","ARGENTINA",2022,14,"LOS LAGOS","","3","1","4",4

"H","00 A 04","ARGENTINA",2022,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","","1","","1",1

"H","00 A 04","ARGENTINA",2022,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","","2","1","3",3

"H","00 A 04","ARGENTINA",2022,17,"REGIÓN IGNORADA","","22","2","24",24

"H","00 A 04","ARGENTINA",2023,2,"TARAPACÁ","","1","","1",1

"H","00 A 04","ARGENTINA",2023,3,"ANTOFAGASTA","","3","1","4",4

"H","00 A 04","ARGENTINA",2023,4,"ATACAMA","","2","","2",2

"H","00 A 04","ARGENTINA",2023,5,"COQUIMBO","","3","1","4",4

"H","00 A 04","ARGENTINA",2023,6,"VALPARAÍSO","","12","3","15",15

"H","00 A 04","ARGENTINA",2023,7,"METROPOLITANA DE SANTIAGO","","39","2","41",41

"H","00 A 04","ARGENTINA",2023,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","","6","","6",6

"H","00 A 04","ARGENTINA",2023,9,"MAULE","","3","","3",3

"H","00 A 04","ARGENTINA",2023,10,"ÑUBLE","","1","","1",1

"H","00 A 04","ARGENTINA",2023,11,"BIOBÍO","","4","","4",4

"H","00 A 04","ARGENTINA",2023,12,"LA ARAUCANÍA","","2","","2",2

"H","00 A 04","ARGENTINA",2023,13,"LOS RÍOS","","1","","1",1

"H","00 A 04","ARGENTINA",2023,14,"LOS LAGOS","","1","","1",1

"H","00 A 04","ARGENTINA",2023,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","","1","","1",1

"H","00 A 04","ARGENTINA",2023,17,"REGIÓN IGNORADA","","17","2","19",19

"H","00 A 04","BOLIVIA",2018,1,"ARICA Y PARINACOTA","81","69","","69",150

"H","00 A 04","BOLIVIA",2018,2,"TARAPACÁ","276","317","11","328",604

"H","00 A 04","BOLIVIA",2018,3,"ANTOFAGASTA","325","256","14","270",595

"H","00 A 04","BOLIVIA",2018,4,"ATACAMA","31","39","","39",70

"H","00 A 04","BOLIVIA",2018,5,"COQUIMBO","9","17","","17",26

"H","00 A 04","BOLIVIA",2018,6,"VALPARAÍSO","16","31","","31",47

"H","00 A 04","BOLIVIA",2018,7,"METROPOLITANA DE SANTIAGO","146","121","4","125",271

"H","00 A 04","BOLIVIA",2018,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","8","13","","13",21

"H","00 A 04","BOLIVIA",2018,9,"MAULE","7","7","","7",14

"H","00 A 04","BOLIVIA",2018,10,"ÑUBLE","3","1","","1",4

"H","00 A 04","BOLIVIA",2018,11,"BIOBÍO","2","","","",2

"H","00 A 04","BOLIVIA",2018,12,"LA ARAUCANÍA","2","1","","1",3

"H","00 A 04","BOLIVIA",2018,14,"LOS LAGOS","1","","","",1

"H","00 A 04","BOLIVIA",2018,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","1","","","",1

"H","00 A 04","BOLIVIA",2018,17,"REGIÓN IGNORADA","","188","2","190",190

"H","00 A 04","BOLIVIA",2019,1,"ARICA Y PARINACOTA","55","66","2","68",123

"H","00 A 04","BOLIVIA",2019,2,"TARAPACÁ","182","291","8","299",481

"H","00 A 04","BOLIVIA",2019,3,"ANTOFAGASTA","204","319","3","322",526

"H","00 A 04","BOLIVIA",2019,4,"ATACAMA","23","55","","55",78

"H","00 A 04","BOLIVIA",2019,5,"COQUIMBO","4","15","","15",19

"H","00 A 04","BOLIVIA",2019,6,"VALPARAÍSO","8","30","1","31",39

"H","00 A 04","BOLIVIA",2019,7,"METROPOLITANA DE SANTIAGO","98","156","","156",254

"H","00 A 04","BOLIVIA",2019,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","5","16","","16",21

"H","00 A 04","BOLIVIA",2019,9,"MAULE","6","9","","9",15

"H","00 A 04","BOLIVIA",2019,10,"ÑUBLE","2","2","","2",4

"H","00 A 04","BOLIVIA",2019,11,"BIOBÍO","1","","","",1

"H","00 A 04","BOLIVIA",2019,12,"LA ARAUCANÍA","1","2","","2",3

"H","00 A 04","BOLIVIA",2019,14,"LOS LAGOS","1","1","","1",2

"H","00 A 04","BOLIVIA",2019,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","1","","","",1

"H","00 A 04","BOLIVIA",2019,17,"REGIÓN IGNORADA","","238","3","241",241

"H","00 A 04","BOLIVIA",2020,1,"ARICA Y PARINACOTA","28","53","2","55",83

"H","00 A 04","BOLIVIA",2020,2,"TARAPACÁ","97","212","28","240",337

"H","00 A 04","BOLIVIA",2020,3,"ANTOFAGASTA","110","250","5","255",365

"H","00 A 04","BOLIVIA",2020,4,"ATACAMA","12","52","","52",64

"H","00 A 04","BOLIVIA",2020,5,"COQUIMBO","4","16","","16",20

"H","00 A 04","BOLIVIA",2020,6,"VALPARAÍSO","7","30","2","32",39

"H","00 A 04","BOLIVIA",2020,7,"METROPOLITANA DE SANTIAGO","61","143","13","156",217

"H","00 A 04","BOLIVIA",2020,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","2","15","2","17",19

"H","00 A 04","BOLIVIA",2020,9,"MAULE","3","8","","8",11

"H","00 A 04","BOLIVIA",2020,10,"ÑUBLE","1","3","","3",4

"H","00 A 04","BOLIVIA",2020,12,"LA ARAUCANÍA","1","2","","2",3

"H","00 A 04","BOLIVIA",2020,14,"LOS LAGOS","","1","","1",1

"H","00 A 04","BOLIVIA",2020,17,"REGIÓN IGNORADA","","211","4","215",215

"H","00 A 04","BOLIVIA",2021,1,"ARICA Y PARINACOTA","9","50","4","54",63

"H","00 A 04","BOLIVIA",2021,2,"TARAPACÁ","42","157","36","193",235

"H","00 A 04","BOLIVIA",2021,3,"ANTOFAGASTA","39","210","9","219",258

"H","00 A 04","BOLIVIA",2021,4,"ATACAMA","2","44","1","45",47

"H","00 A 04","BOLIVIA",2021,5,"COQUIMBO","1","12","4","16",17

"H","00 A 04","BOLIVIA",2021,6,"VALPARAÍSO","2","20","1","21",23

"H","00 A 04","BOLIVIA",2021,7,"METROPOLITANA DE SANTIAGO","23","103","11","114",137

"H","00 A 04","BOLIVIA",2021,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","","13","3","16",16

"H","00 A 04","BOLIVIA",2021,9,"MAULE","1","6","","6",7

"H","00 A 04","BOLIVIA",2021,11,"BIOBÍO","","1","","1",1

"H","00 A 04","BOLIVIA",2021,12,"LA ARAUCANÍA","","2","","2",2

"H","00 A 04","BOLIVIA",2021,14,"LOS LAGOS","","","2","2",2

"H","00 A 04","BOLIVIA",2021,17,"REGIÓN IGNORADA","","137","11","148",148

"H","00 A 04","BOLIVIA",2022,1,"ARICA Y PARINACOTA","","23","18","41",41

"H","00 A 04","BOLIVIA",2022,2,"TARAPACÁ","","104","85","189",189

"H","00 A 04","BOLIVIA",2022,3,"ANTOFAGASTA","","142","21","163",163

"H","00 A 04","BOLIVIA",2022,4,"ATACAMA","","40","2","42",42

"H","00 A 04","BOLIVIA",2022,5,"COQUIMBO","","6","6","12",12

"H","00 A 04","BOLIVIA",2022,6,"VALPARAÍSO","","20","9","29",29

"H","00 A 04","BOLIVIA",2022,7,"METROPOLITANA DE SANTIAGO","","84","31","115",115

"H","00 A 04","BOLIVIA",2022,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","","13","4","17",17

"H","00 A 04","BOLIVIA",2022,9,"MAULE","","2","","2",2

"H","00 A 04","BOLIVIA",2022,10,"ÑUBLE","","","1","1",1

"H","00 A 04","BOLIVIA",2022,11,"BIOBÍO","","","1","1",1

"H","00 A 04","BOLIVIA",2022,13,"LOS RÍOS","","3","","3",3

"H","00 A 04","BOLIVIA",2022,14,"LOS LAGOS","","2","3","5",5

"H","00 A 04","BOLIVIA",2022,17,"REGIÓN IGNORADA","","141","17","158",158

"H","00 A 04","BOLIVIA",2023,1,"ARICA Y PARINACOTA","","46","4","50",50

"H","00 A 04","BOLIVIA",2023,2,"TARAPACÁ","","226","9","235",235

"H","00 A 04","BOLIVIA",2023,3,"ANTOFAGASTA","","224","8","232",232

"H","00 A 04","BOLIVIA",2023,4,"ATACAMA","","45","2","47",47

"H","00 A 04","BOLIVIA",2023,5,"COQUIMBO","","15","5","20",20

"H","00 A 04","BOLIVIA",2023,6,"VALPARAÍSO","","36","2","38",38

"H","00 A 04","BOLIVIA",2023,7,"METROPOLITANA DE SANTIAGO","","118","9","127",127

"H","00 A 04","BOLIVIA",2023,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","","52","1","53",53

"H","00 A 04","BOLIVIA",2023,9,"MAULE","","10","","10",10

"H","00 A 04","BOLIVIA",2023,10,"ÑUBLE","","1","","1",1

"H","00 A 04","BOLIVIA",2023,11,"BIOBÍO","","1","","1",1

"H","00 A 04","BOLIVIA",2023,13,"LOS RÍOS","","3","","3",3

"H","00 A 04","BOLIVIA",2023,14,"LOS LAGOS","","1","1","2",2

"H","00 A 04","BOLIVIA",2023,17,"REGIÓN IGNORADA","","74","15","89",89

"H","00 A 04","BRASIL",2018,1,"ARICA Y PARINACOTA","1","","","",1

"H","00 A 04","BRASIL",2018,2,"TARAPACÁ","7","4","1","5",12

"H","00 A 04","BRASIL",2018,3,"ANTOFAGASTA","2","","","",2

"H","00 A 04","BRASIL",2018,4,"ATACAMA","1","","","",1

"H","00 A 04","BRASIL",2018,5,"COQUIMBO","3","2","1","3",6

"H","00 A 04","BRASIL",2018,6,"VALPARAÍSO","8","2","","2",10

"H","00 A 04","BRASIL",2018,7,"METROPOLITANA DE SANTIAGO","139","23","","23",162

"H","00 A 04","BRASIL",2018,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","4","3","","3",7

"H","00 A 04","BRASIL",2018,9,"MAULE","4","1","","1",5

"H","00 A 04","BRASIL",2018,11,"BIOBÍO","3","2","1","3",6

"H","00 A 04","BRASIL",2018,12,"LA ARAUCANÍA","4","","","",4

"H","00 A 04","BRASIL",2018,13,"LOS RÍOS","2","1","","1",3

"H","00 A 04","BRASIL",2018,14,"LOS LAGOS","3","1","","1",4

"H","00 A 04","BRASIL",2018,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","","","",1

"H","00 A 04","BRASIL",2018,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","3","","","",3

"H","00 A 04","BRASIL",2018,17,"REGIÓN IGNORADA","","13","","13",13

"H","00 A 04","BRASIL",2019,1,"ARICA Y PARINACOTA","1","","","",1

"H","00 A 04","BRASIL",2019,2,"TARAPACÁ","4","4","","4",8

"H","00 A 04","BRASIL",2019,3,"ANTOFAGASTA","2","1","","1",3

"H","00 A 04","BRASIL",2019,4,"ATACAMA","1","","","",1

"H","00 A 04","BRASIL",2019,5,"COQUIMBO","2","4","","4",6

"H","00 A 04","BRASIL",2019,6,"VALPARAÍSO","6","3","","3",9

"H","00 A 04","BRASIL",2019,7,"METROPOLITANA DE SANTIAGO","100","22","","22",122

"H","00 A 04","BRASIL",2019,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","3","1","","1",4

"H","00 A 04","BRASIL",2019,9,"MAULE","1","2","","2",3

"H","00 A 04","BRASIL",2019,11,"BIOBÍO","3","3","","3",6

"H","00 A 04","BRASIL",2019,12,"LA ARAUCANÍA","4","1","","1",5

"H","00 A 04","BRASIL",2019,13,"LOS RÍOS","2","1","","1",3

"H","00 A 04","BRASIL",2019,14,"LOS LAGOS","1","3","","3",4

"H","00 A 04","BRASIL",2019,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","","","",1

"H","00 A 04","BRASIL",2019,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","2","2","","2",4

"H","00 A 04","BRASIL",2019,17,"REGIÓN IGNORADA","","15","2","17",17

"H","00 A 04","BRASIL",2020,1,"ARICA Y PARINACOTA","1","2","","2",3

"H","00 A 04","BRASIL",2020,2,"TARAPACÁ","2","4","","4",6

"H","00 A 04","BRASIL",2020,4,"ATACAMA","1","","","",1

"H","00 A 04","BRASIL",2020,5,"COQUIMBO","1","2","1","3",4

"H","00 A 04","BRASIL",2020,6,"VALPARAÍSO","2","4","","4",6

"H","00 A 04","BRASIL",2020,7,"METROPOLITANA DE SANTIAGO","52","27","1","28",80

"H","00 A 04","BRASIL",2020,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","3","2","","2",5

"H","00 A 04","BRASIL",2020,9,"MAULE","1","3","","3",4

"H","00 A 04","BRASIL",2020,10,"ÑUBLE","","1","","1",1

"H","00 A 04","BRASIL",2020,11,"BIOBÍO","","4","","4",4

"H","00 A 04","BRASIL",2020,12,"LA ARAUCANÍA","3","","","",3

"H","00 A 04","BRASIL",2020,13,"LOS RÍOS","1","1","","1",2

"H","00 A 04","BRASIL",2020,14,"LOS LAGOS","","3","","3",3

"H","00 A 04","BRASIL",2020,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","","","",1

"H","00 A 04","BRASIL",2020,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","1","1","","1",2

"H","00 A 04","BRASIL",2020,17,"REGIÓN IGNORADA","","9","2","11",11

"H","00 A 04","BRASIL",2021,1,"ARICA Y PARINACOTA","1","2","","2",3

"H","00 A 04","BRASIL",2021,2,"TARAPACÁ","1","2","","2",3

"H","00 A 04","BRASIL",2021,5,"COQUIMBO","","1","","1",1

"H","00 A 04","BRASIL",2021,6,"VALPARAÍSO","1","1","","1",2

"H","00 A 04","BRASIL",2021,7,"METROPOLITANA DE SANTIAGO","15","25","","25",40

"H","00 A 04","BRASIL",2021,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","","2","","2",2

"H","00 A 04","BRASIL",2021,9,"MAULE","1","1","","1",2

"H","00 A 04","BRASIL",2021,10,"ÑUBLE","","1","","1",1

"H","00 A 04","BRASIL",2021,11,"BIOBÍO","","1","","1",1

"H","00 A 04","BRASIL",2021,12,"LA ARAUCANÍA","","1","","1",1

"H","00 A 04","BRASIL",2021,13,"LOS RÍOS","1","","","",1

"H","00 A 04","BRASIL",2021,14,"LOS LAGOS","","1","","1",1

"H","00 A 04","BRASIL",2021,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","","1","","1",1

"H","00 A 04","BRASIL",2021,17,"REGIÓN IGNORADA","","15","3","18",18

"H","00 A 04","BRASIL",2022,2,"TARAPACÁ","","","1","1",1

"H","00 A 04","BRASIL",2022,5,"COQUIMBO","","1","1","2",2

"H","00 A 04","BRASIL",2022,6,"VALPARAÍSO","","","2","2",2

"H","00 A 04","BRASIL",2022,7,"METROPOLITANA DE SANTIAGO","","32","5","37",37

"H","00 A 04","BRASIL",2022,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","","2","2","4",4

"H","00 A 04","BRASIL",2022,9,"MAULE","","3","2","5",5

"H","00 A 04","BRASIL",2022,10,"ÑUBLE","","3","","3",3

"H","00 A 04","BRASIL",2022,11,"BIOBÍO","","2","","2",2

"H","00 A 04","BRASIL",2022,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","","1","","1",1

"H","00 A 04","BRASIL",2022,17,"REGIÓN IGNORADA","","13","4","17",17

"H","00 A 04","BRASIL",2023,1,"ARICA Y PARINACOTA","","1","","1",1

"H","00 A 04","BRASIL",2023,2,"TARAPACÁ","","1","","1",1

"H","00 A 04","BRASIL",2023,4,"ATACAMA","","1","","1",1

"H","00 A 04","BRASIL",2023,5,"COQUIMBO","","1","1","2",2

"H","00 A 04","BRASIL",2023,6,"VALPARAÍSO","","1","2","3",3

"H","00 A 04","BRASIL",2023,7,"METROPOLITANA DE SANTIAGO","","26","1","27",27

"H","00 A 04","BRASIL",2023,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","","3","","3",3
