"SEXO","EDAD","PAIS","AÑO ESTIMACION","CODREGEO","REGION","CENSO AJUSTADO","RRAA_REGULAR","RRAA_IRREGULAR","RRAA_TOTAL","ESTIMACION"
"H","30 A 34","R. DOMINICANA",2023,1,"ARICA Y PARINACOTA","3","5","1","6",9

"H","30 A 34","R. DOMINICANA",2023,2,"TARAPACÁ","23","12","3","15",38

"H","30 A 34","R. DOMINICANA",2023,3,"ANTOFAGASTA","6","4","2","6",12

"H","30 A 34","R. DOMINICANA",2023,4,"ATACAMA","3","7","7","14",17

"H","30 A 34","R. DOMINICANA",2023,5,"COQUIMBO","13","8","7","15",28

"H","30 A 34","R. DOMINICANA",2023,6,"VALPARAÍSO","23","6","6","12",35

"H","30 A 34","R. DOMINICANA",2023,7,"METROPOLITANA DE SANTIAGO","673","407","187","594",1267

"H","30 A 34","R. DOMINICANA",2023,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","5","5","2","7",12

"H","30 A 34","R. DOMINICANA",2023,9,"MAULE","7","5","","5",12

"H","30 A 34","R. DOMINICANA",2023,10,"ÑUBLE","1","","1","1",2

"H","30 A 34","R. DOMINICANA",2023,11,"BIOBÍO","7","6","6","12",19

"H","30 A 34","R. DOMINICANA",2023,12,"LA ARAUCANÍA","1","3","1","4",5

"H","30 A 34","R. DOMINICANA",2023,13,"LOS RÍOS","","1","1","2",2

"H","30 A 34","R. DOMINICANA",2023,14,"LOS LAGOS","2","12","7","19",21

"H","30 A 34","R. DOMINICANA",2023,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","","2","1","3",3

"H","30 A 34","R. DOMINICANA",2023,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","6","6","3","9",15

"H","30 A 34","R. DOMINICANA",2023,17,"REGIÓN IGNORADA","","25","138","163",163

"H","30 A 34","URUGUAY",2018,1,"ARICA Y PARINACOTA","2","","","",2

"H","30 A 34","URUGUAY",2018,2,"TARAPACÁ","4","","","",4

"H","30 A 34","URUGUAY",2018,3,"ANTOFAGASTA","9","1","","1",10

"H","30 A 34","URUGUAY",2018,4,"ATACAMA","3","","","",3

"H","30 A 34","URUGUAY",2018,5,"COQUIMBO","8","2","","2",10

"H","30 A 34","URUGUAY",2018,6,"VALPARAÍSO","35","9","","9",44

"H","30 A 34","URUGUAY",2018,7,"METROPOLITANA DE SANTIAGO","240","21","","21",261

"H","30 A 34","URUGUAY",2018,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","12","3","","3",15

"H","30 A 34","URUGUAY",2018,9,"MAULE","3","5","","5",8

"H","30 A 34","URUGUAY",2018,10,"ÑUBLE","5","","","",5

"H","30 A 34","URUGUAY",2018,11,"BIOBÍO","10","1","","1",11

"H","30 A 34","URUGUAY",2018,12,"LA ARAUCANÍA","9","2","","2",11

"H","30 A 34","URUGUAY",2018,13,"LOS RÍOS","3","","","",3

"H","30 A 34","URUGUAY",2018,14,"LOS LAGOS","7","5","","5",12

"H","30 A 34","URUGUAY",2018,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","","","",1

"H","30 A 34","URUGUAY",2018,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","2","4","","4",6

"H","30 A 34","URUGUAY",2018,17,"REGIÓN IGNORADA","","14","","14",14

"H","30 A 34","URUGUAY",2019,1,"ARICA Y PARINACOTA","3","","","",3

"H","30 A 34","URUGUAY",2019,2,"TARAPACÁ","2","","","",2

"H","30 A 34","URUGUAY",2019,3,"ANTOFAGASTA","9","3","","3",12

"H","30 A 34","URUGUAY",2019,4,"ATACAMA","2","1","","1",3

"H","30 A 34","URUGUAY",2019,5,"COQUIMBO","12","2","","2",14

"H","30 A 34","URUGUAY",2019,6,"VALPARAÍSO","39","9","","9",48

"H","30 A 34","URUGUAY",2019,7,"METROPOLITANA DE SANTIAGO","206","33","","33",239

"H","30 A 34","URUGUAY",2019,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","12","1","","1",13

"H","30 A 34","URUGUAY",2019,9,"MAULE","3","11","","11",14

"H","30 A 34","URUGUAY",2019,10,"ÑUBLE","5","","","",5

"H","30 A 34","URUGUAY",2019,11,"BIOBÍO","8","1","","1",9

"H","30 A 34","URUGUAY",2019,12,"LA ARAUCANÍA","11","4","","4",15

"H","30 A 34","URUGUAY",2019,13,"LOS RÍOS","2","1","","1",3

"H","30 A 34","URUGUAY",2019,14,"LOS LAGOS","5","4","","4",9

"H","30 A 34","URUGUAY",2019,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","2","4","","4",6

"H","30 A 34","URUGUAY",2019,17,"REGIÓN IGNORADA","","14","1","15",15

"H","30 A 34","URUGUAY",2020,1,"ARICA Y PARINACOTA","2","","","",2

"H","30 A 34","URUGUAY",2020,2,"TARAPACÁ","3","","","",3

"H","30 A 34","URUGUAY",2020,3,"ANTOFAGASTA","9","4","","4",13

"H","30 A 34","URUGUAY",2020,4,"ATACAMA","3","1","1","2",5

"H","30 A 34","URUGUAY",2020,5,"COQUIMBO","12","2","","2",14

"H","30 A 34","URUGUAY",2020,6,"VALPARAÍSO","42","11","","11",53

"H","30 A 34","URUGUAY",2020,7,"METROPOLITANA DE SANTIAGO","197","51","3","54",251

"H","30 A 34","URUGUAY",2020,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","9","4","","4",13

"H","30 A 34","URUGUAY",2020,9,"MAULE","3","7","","7",10

"H","30 A 34","URUGUAY",2020,10,"ÑUBLE","6","1","","1",7

"H","30 A 34","URUGUAY",2020,11,"BIOBÍO","7","4","","4",11

"H","30 A 34","URUGUAY",2020,12,"LA ARAUCANÍA","13","1","","1",14

"H","30 A 34","URUGUAY",2020,13,"LOS RÍOS","3","1","","1",4

"H","30 A 34","URUGUAY",2020,14,"LOS LAGOS","4","3","","3",7

"H","30 A 34","URUGUAY",2020,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","3","5","","5",8

"H","30 A 34","URUGUAY",2020,17,"REGIÓN IGNORADA","","13","2","15",15

"H","30 A 34","URUGUAY",2021,1,"ARICA Y PARINACOTA","2","","","",2

"H","30 A 34","URUGUAY",2021,2,"TARAPACÁ","1","","","",1

"H","30 A 34","URUGUAY",2021,3,"ANTOFAGASTA","11","2","","2",13

"H","30 A 34","URUGUAY",2021,4,"ATACAMA","2","1","1","2",4

"H","30 A 34","URUGUAY",2021,5,"COQUIMBO","12","2","1","3",15

"H","30 A 34","URUGUAY",2021,6,"VALPARAÍSO","40","10","1","11",51

"H","30 A 34","URUGUAY",2021,7,"METROPOLITANA DE SANTIAGO","186","54","4","58",244

"H","30 A 34","URUGUAY",2021,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","8","2","","2",10

"H","30 A 34","URUGUAY",2021,9,"MAULE","5","5","1","6",11

"H","30 A 34","URUGUAY",2021,10,"ÑUBLE","5","1","","1",6

"H","30 A 34","URUGUAY",2021,11,"BIOBÍO","6","4","","4",10

"H","30 A 34","URUGUAY",2021,12,"LA ARAUCANÍA","10","1","","1",11

"H","30 A 34","URUGUAY",2021,13,"LOS RÍOS","3","1","","1",4

"H","30 A 34","URUGUAY",2021,14,"LOS LAGOS","2","2","","2",4

"H","30 A 34","URUGUAY",2021,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","3","3","","3",6

"H","30 A 34","URUGUAY",2021,17,"REGIÓN IGNORADA","","6","4","10",10

"H","30 A 34","URUGUAY",2022,1,"ARICA Y PARINACOTA","2","","","",2

"H","30 A 34","URUGUAY",2022,2,"TARAPACÁ","2","","","",2

"H","30 A 34","URUGUAY",2022,3,"ANTOFAGASTA","6","2","","2",8

"H","30 A 34","URUGUAY",2022,4,"ATACAMA","1","1","1","2",3

"H","30 A 34","URUGUAY",2022,5,"COQUIMBO","9","","","",9

"H","30 A 34","URUGUAY",2022,6,"VALPARAÍSO","35","10","1","11",46

"H","30 A 34","URUGUAY",2022,7,"METROPOLITANA DE SANTIAGO","164","42","1","43",207

"H","30 A 34","URUGUAY",2022,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","9","4","","4",13

"H","30 A 34","URUGUAY",2022,9,"MAULE","6","7","","7",13

"H","30 A 34","URUGUAY",2022,10,"ÑUBLE","3","3","","3",6

"H","30 A 34","URUGUAY",2022,11,"BIOBÍO","8","3","","3",11

"H","30 A 34","URUGUAY",2022,12,"LA ARAUCANÍA","7","","","",7

"H","30 A 34","URUGUAY",2022,13,"LOS RÍOS","2","1","","1",3

"H","30 A 34","URUGUAY",2022,14,"LOS LAGOS","2","3","","3",5

"H","30 A 34","URUGUAY",2022,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","2","3","","3",5

"H","30 A 34","URUGUAY",2022,17,"REGIÓN IGNORADA","","1","3","4",4

"H","30 A 34","URUGUAY",2023,1,"ARICA Y PARINACOTA","2","","","",2

"H","30 A 34","URUGUAY",2023,2,"TARAPACÁ","2","","","",2

"H","30 A 34","URUGUAY",2023,3,"ANTOFAGASTA","5","1","","1",6

"H","30 A 34","URUGUAY",2023,4,"ATACAMA","1","1","1","2",3

"H","30 A 34","URUGUAY",2023,5,"COQUIMBO","9","","1","1",10

"H","30 A 34","URUGUAY",2023,6,"VALPARAÍSO","31","5","1","6",37

"H","30 A 34","URUGUAY",2023,7,"METROPOLITANA DE SANTIAGO","141","36","2","38",179

"H","30 A 34","URUGUAY",2023,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","9","5","","5",14

"H","30 A 34","URUGUAY",2023,9,"MAULE","6","4","","4",10

"H","30 A 34","URUGUAY",2023,10,"ÑUBLE","2","1","","1",3

"H","30 A 34","URUGUAY",2023,11,"BIOBÍO","8","4","","4",12

"H","30 A 34","URUGUAY",2023,12,"LA ARAUCANÍA","4","1","","1",5

"H","30 A 34","URUGUAY",2023,13,"LOS RÍOS","2","","","",2

"H","30 A 34","URUGUAY",2023,14,"LOS LAGOS","2","2","","2",4

"H","30 A 34","URUGUAY",2023,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","1","3","","3",4

"H","30 A 34","URUGUAY",2023,17,"REGIÓN IGNORADA","","3","6","9",9

"H","30 A 34","VENEZUELA",2018,1,"ARICA Y PARINACOTA","21","107","","107",128

"H","30 A 34","VENEZUELA",2018,2,"TARAPACÁ","57","222","","222",279

"H","30 A 34","VENEZUELA",2018,3,"ANTOFAGASTA","121","329","1","330",451

"H","30 A 34","VENEZUELA",2018,4,"ATACAMA","45","158","1","159",204

"H","30 A 34","VENEZUELA",2018,5,"COQUIMBO","113","493","1","494",607

"H","30 A 34","VENEZUELA",2018,6,"VALPARAÍSO","460","1681","2","1683",2143

"H","30 A 34","VENEZUELA",2018,7,"METROPOLITANA DE SANTIAGO","9384","12079","10","12089",21473

"H","30 A 34","VENEZUELA",2018,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","171","699","","699",870

"H","30 A 34","VENEZUELA",2018,9,"MAULE","166","698","","698",864

"H","30 A 34","VENEZUELA",2018,10,"ÑUBLE","45","149","","149",194

"H","30 A 34","VENEZUELA",2018,11,"BIOBÍO","175","809","1","810",985

"H","30 A 34","VENEZUELA",2018,12,"LA ARAUCANÍA","45","203","","203",248

"H","30 A 34","VENEZUELA",2018,13,"LOS RÍOS","29","85","","85",114

"H","30 A 34","VENEZUELA",2018,14,"LOS LAGOS","68","488","","488",556

"H","30 A 34","VENEZUELA",2018,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","5","42","","42",47

"H","30 A 34","VENEZUELA",2018,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","19","116","","116",135

"H","30 A 34","VENEZUELA",2018,17,"REGIÓN IGNORADA","","4147","12","4159",4159

"H","30 A 34","VENEZUELA",2019,1,"ARICA Y PARINACOTA","20","212","2","214",234

"H","30 A 34","VENEZUELA",2019,2,"TARAPACÁ","60","345","13","358",418

"H","30 A 34","VENEZUELA",2019,3,"ANTOFAGASTA","127","647","5","652",779

"H","30 A 34","VENEZUELA",2019,4,"ATACAMA","33","278","2","280",313

"H","30 A 34","VENEZUELA",2019,5,"COQUIMBO","122","893","6","899",1021

"H","30 A 34","VENEZUELA",2019,6,"VALPARAÍSO","501","2857","16","2873",3374

"H","30 A 34","VENEZUELA",2019,7,"METROPOLITANA DE SANTIAGO","10134","20389","43","20432",30566

"H","30 A 34","VENEZUELA",2019,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","174","1211","2","1213",1387

"H","30 A 34","VENEZUELA",2019,9,"MAULE","177","1108","6","1114",1291

"H","30 A 34","VENEZUELA",2019,10,"ÑUBLE","40","252","","252",292

"H","30 A 34","VENEZUELA",2019,11,"BIOBÍO","181","1422","14","1436",1617

"H","30 A 34","VENEZUELA",2019,12,"LA ARAUCANÍA","52","388","3","391",443

"H","30 A 34","VENEZUELA",2019,13,"LOS RÍOS","27","150","","150",177

"H","30 A 34","VENEZUELA",2019,14,"LOS LAGOS","71","846","6","852",923

"H","30 A 34","VENEZUELA",2019,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","8","66","","66",74

"H","30 A 34","VENEZUELA",2019,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","19","245","","245",264

"H","30 A 34","VENEZUELA",2019,17,"REGIÓN IGNORADA","","1564","213","1777",1777

"H","30 A 34","VENEZUELA",2020,1,"ARICA Y PARINACOTA","16","234","5","239",255

"H","30 A 34","VENEZUELA",2020,2,"TARAPACÁ","70","387","23","410",480

"H","30 A 34","VENEZUELA",2020,3,"ANTOFAGASTA","119","735","10","745",864

"H","30 A 34","VENEZUELA",2020,4,"ATACAMA","25","299","10","309",334

"H","30 A 34","VENEZUELA",2020,5,"COQUIMBO","123","970","24","994",1117

"H","30 A 34","VENEZUELA",2020,6,"VALPARAÍSO","539","2976","40","3016",3555

"H","30 A 34","VENEZUELA",2020,7,"METROPOLITANA DE SANTIAGO","10777","24297","105","24402",35179

"H","30 A 34","VENEZUELA",2020,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","161","1281","5","1286",1447

"H","30 A 34","VENEZUELA",2020,9,"MAULE","171","1200","19","1219",1390

"H","30 A 34","VENEZUELA",2020,10,"ÑUBLE","39","285","5","290",329

"H","30 A 34","VENEZUELA",2020,11,"BIOBÍO","185","1535","37","1572",1757

"H","30 A 34","VENEZUELA",2020,12,"LA ARAUCANÍA","52","421","10","431",483

"H","30 A 34","VENEZUELA",2020,13,"LOS RÍOS","29","179","2","181",210

"H","30 A 34","VENEZUELA",2020,14,"LOS LAGOS","65","975","23","998",1063

"H","30 A 34","VENEZUELA",2020,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","8","79","","79",87

"H","30 A 34","VENEZUELA",2020,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","20","275","1","276",296

"H","30 A 34","VENEZUELA",2020,17,"REGIÓN IGNORADA","","411","779","1190",1190

"H","30 A 34","VENEZUELA",2021,1,"ARICA Y PARINACOTA","13","242","2","244",257

"H","30 A 34","VENEZUELA",2021,2,"TARAPACÁ","78","439","12","451",529

"H","30 A 34","VENEZUELA",2021,3,"ANTOFAGASTA","123","775","17","792",915

"H","30 A 34","VENEZUELA",2021,4,"ATACAMA","17","291","22","313",330

"H","30 A 34","VENEZUELA",2021,5,"COQUIMBO","122","970","46","1016",1138

"H","30 A 34","VENEZUELA",2021,6,"VALPARAÍSO","541","2900","177","3077",3618

"H","30 A 34","VENEZUELA",2021,7,"METROPOLITANA DE SANTIAGO","10898","24923","333","25256",36154

"H","30 A 34","VENEZUELA",2021,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","153","1283","28","1311",1464

"H","30 A 34","VENEZUELA",2021,9,"MAULE","170","1194","80","1274",1444

"H","30 A 34","VENEZUELA",2021,10,"ÑUBLE","42","315","7","322",364

"H","30 A 34","VENEZUELA",2021,11,"BIOBÍO","172","1552","74","1626",1798

"H","30 A 34","VENEZUELA",2021,12,"LA ARAUCANÍA","52","414","31","445",497

"H","30 A 34","VENEZUELA",2021,13,"LOS RÍOS","28","183","3","186",214

"H","30 A 34","VENEZUELA",2021,14,"LOS LAGOS","65","992","76","1068",1133

"H","30 A 34","VENEZUELA",2021,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","7","70","3","73",80

"H","30 A 34","VENEZUELA",2021,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","17","259","","259",276

"H","30 A 34","VENEZUELA",2021,17,"REGIÓN IGNORADA","","428","4521","4949",4949

"H","30 A 34","VENEZUELA",2022,1,"ARICA Y PARINACOTA","15","234","7","241",256

"H","30 A 34","VENEZUELA",2022,2,"TARAPACÁ","87","459","13","472",559

"H","30 A 34","VENEZUELA",2022,3,"ANTOFAGASTA","117","806","30","836",953

"H","30 A 34","VENEZUELA",2022,4,"ATACAMA","21","302","24","326",347

"H","30 A 34","VENEZUELA",2022,5,"COQUIMBO","122","996","64","1060",1182

"H","30 A 34","VENEZUELA",2022,6,"VALPARAÍSO","544","2886","250","3136",3680

"H","30 A 34","VENEZUELA",2022,7,"METROPOLITANA DE SANTIAGO","10540","24651","469","25120",35660

"H","30 A 34","VENEZUELA",2022,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","157","1166","45","1211",1368

"H","30 A 34","VENEZUELA",2022,9,"MAULE","166","1211","93","1304",1470

"H","30 A 34","VENEZUELA",2022,10,"ÑUBLE","37","384","10","394",431

"H","30 A 34","VENEZUELA",2022,11,"BIOBÍO","169","1559","91","1650",1819

"H","30 A 34","VENEZUELA",2022,12,"LA ARAUCANÍA","49","416","41","457",506

"H","30 A 34","VENEZUELA",2022,13,"LOS RÍOS","20","234","8","242",262

"H","30 A 34","VENEZUELA",2022,14,"LOS LAGOS","49","1045","82","1127",1176

"H","30 A 34","VENEZUELA",2022,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","9","63","4","67",76

"H","30 A 34","VENEZUELA",2022,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","14","259","","259",273

"H","30 A 34","VENEZUELA",2022,17,"REGIÓN IGNORADA","","500","16460","16960",16960

"H","30 A 34","VENEZUELA",2023,1,"ARICA Y PARINACOTA","9","240","242","482",491

"H","30 A 34","VENEZUELA",2023,2,"TARAPACÁ","89","545","280","825",914

"H","30 A 34","VENEZUELA",2023,3,"ANTOFAGASTA","100","859","588","1447",1547

"H","30 A 34","VENEZUELA",2023,4,"ATACAMA","22","282","285","567",589

"H","30 A 34","VENEZUELA",2023,5,"COQUIMBO","115","1059","726","1785",1900

"H","30 A 34","VENEZUELA",2023,6,"VALPARAÍSO","522","2877","1554","4431",4953

"H","30 A 34","VENEZUELA",2023,7,"METROPOLITANA DE SANTIAGO","9710","23883","10825","34708",44418

"H","30 A 34","VENEZUELA",2023,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","147","1146","767","1913",2060

"H","30 A 34","VENEZUELA",2023,9,"MAULE","144","1240","712","1952",2096

"H","30 A 34","VENEZUELA",2023,10,"ÑUBLE","36","423","100","523",559

"H","30 A 34","VENEZUELA",2023,11,"BIOBÍO","151","1535","970","2505",2656

"H","30 A 34","VENEZUELA",2023,12,"LA ARAUCANÍA","46","500","185","685",731

"H","30 A 34","VENEZUELA",2023,13,"LOS RÍOS","19","226","45","271",290

"H","30 A 34","VENEZUELA",2023,14,"LOS LAGOS","42","1049","642","1691",1733

"H","30 A 34","VENEZUELA",2023,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","7","60","27","87",94

"H","30 A 34","VENEZUELA",2023,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","12","265","58","323",335

"H","30 A 34","VENEZUELA",2023,17,"REGIÓN IGNORADA","","268","4854","5122",5122

"H","35 A 39","ALEMANIA",2018,1,"ARICA Y PARINACOTA","2","","","",2

"H","35 A 39","ALEMANIA",2018,2,"TARAPACÁ","2","","","",2

"H","35 A 39","ALEMANIA",2018,3,"ANTOFAGASTA","5","1","","1",6

"H","35 A 39","ALEMANIA",2018,5,"COQUIMBO","1","","","",1

"H","35 A 39","ALEMANIA",2018,6,"VALPARAÍSO","26","1","","1",27

"H","35 A 39","ALEMANIA",2018,7,"METROPOLITANA DE SANTIAGO","189","8","","8",197

"H","35 A 39","ALEMANIA",2018,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","5","1","1","2",7

"H","35 A 39","ALEMANIA",2018,9,"MAULE","1","","1","1",2

"H","35 A 39","ALEMANIA",2018,10,"ÑUBLE","3","","","",3

"H","35 A 39","ALEMANIA",2018,11,"BIOBÍO","6","","","",6

"H","35 A 39","ALEMANIA",2018,12,"LA ARAUCANÍA","12","1","","1",13

"H","35 A 39","ALEMANIA",2018,13,"LOS RÍOS","10","1","","1",11

"H","35 A 39","ALEMANIA",2018,14,"LOS LAGOS","6","","","",6

"H","35 A 39","ALEMANIA",2018,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","","","",1

"H","35 A 39","ALEMANIA",2018,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","1","","","",1

"H","35 A 39","ALEMANIA",2018,17,"REGIÓN IGNORADA","","3","","3",3

"H","35 A 39","ALEMANIA",2019,1,"ARICA Y PARINACOTA","2","","","",2

"H","35 A 39","ALEMANIA",2019,2,"TARAPACÁ","1","","","",1

"H","35 A 39","ALEMANIA",2019,3,"ANTOFAGASTA","6","2","","2",8

"H","35 A 39","ALEMANIA",2019,5,"COQUIMBO","2","","","",2

"H","35 A 39","ALEMANIA",2019,6,"VALPARAÍSO","20","4","","4",24

"H","35 A 39","ALEMANIA",2019,7,"METROPOLITANA DE SANTIAGO","183","9","1","10",193

"H","35 A 39","ALEMANIA",2019,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","5","1","","1",6

"H","35 A 39","ALEMANIA",2019,9,"MAULE","","","1","1",1

"H","35 A 39","ALEMANIA",2019,10,"ÑUBLE","2","","","",2

"H","35 A 39","ALEMANIA",2019,11,"BIOBÍO","6","","","",6

"H","35 A 39","ALEMANIA",2019,12,"LA ARAUCANÍA","12","","","",12

"H","35 A 39","ALEMANIA",2019,13,"LOS RÍOS","7","","","",7

"H","35 A 39","ALEMANIA",2019,14,"LOS LAGOS","5","1","","1",6

"H","35 A 39","ALEMANIA",2019,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","1","","1",2

"H","35 A 39","ALEMANIA",2019,17,"REGIÓN IGNORADA","","1","","1",1

"H","35 A 39","ALEMANIA",2020,1,"ARICA Y PARINACOTA","2","","","",2

"H","35 A 39","ALEMANIA",2020,2,"TARAPACÁ","1","1","","1",2

"H","35 A 39","ALEMANIA",2020,3,"ANTOFAGASTA","5","1","","1",6

"H","35 A 39","ALEMANIA",2020,4,"ATACAMA","","1","","1",1

"H","35 A 39","ALEMANIA",2020,5,"COQUIMBO","2","","","",2

"H","35 A 39","ALEMANIA",2020,6,"VALPARAÍSO","19","2","","2",21

"H","35 A 39","ALEMANIA",2020,7,"METROPOLITANA DE SANTIAGO","184","11","8","19",203

"H","35 A 39","ALEMANIA",2020,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","6","1","","1",7

"H","35 A 39","ALEMANIA",2020,9,"MAULE","1","2","","2",3

"H","35 A 39","ALEMANIA",2020,10,"ÑUBLE","2","","","",2

"H","35 A 39","ALEMANIA",2020,11,"BIOBÍO","6","","","",6

"H","35 A 39","ALEMANIA",2020,12,"LA ARAUCANÍA","7","","","",7

"H","35 A 39","ALEMANIA",2020,13,"LOS RÍOS","6","","","",6

"H","35 A 39","ALEMANIA",2020,14,"LOS LAGOS","6","1","","1",7

"H","35 A 39","ALEMANIA",2020,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","","","",1

"H","35 A 39","ALEMANIA",2020,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","3","","","",3

"H","35 A 39","ALEMANIA",2020,17,"REGIÓN IGNORADA","","","1","1",1

"H","35 A 39","ALEMANIA",2021,2,"TARAPACÁ","","1","","1",1

"H","35 A 39","ALEMANIA",2021,3,"ANTOFAGASTA","5","1","","1",6

"H","35 A 39","ALEMANIA",2021,4,"ATACAMA","","2","","2",2

"H","35 A 39","ALEMANIA",2021,5,"COQUIMBO","2","","","",2

"H","35 A 39","ALEMANIA",2021,6,"VALPARAÍSO","18","6","","6",24

"H","35 A 39","ALEMANIA",2021,7,"METROPOLITANA DE SANTIAGO","173","9","6","15",188

"H","35 A 39","ALEMANIA",2021,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","7","1","","1",8

"H","35 A 39","ALEMANIA",2021,9,"MAULE","1","2","","2",3

"H","35 A 39","ALEMANIA",2021,10,"ÑUBLE","3","","","",3

"H","35 A 39","ALEMANIA",2021,11,"BIOBÍO","7","","","",7

"H","35 A 39","ALEMANIA",2021,12,"LA ARAUCANÍA","5","1","","1",6

"H","35 A 39","ALEMANIA",2021,13,"LOS RÍOS","5","","","",5

"H","35 A 39","ALEMANIA",2021,14,"LOS LAGOS","6","1","","1",7

"H","35 A 39","ALEMANIA",2021,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","1","","1",2

"H","35 A 39","ALEMANIA",2021,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","4","","","",4

"H","35 A 39","ALEMANIA",2021,17,"REGIÓN IGNORADA","","","1","1",1

"H","35 A 39","ALEMANIA",2022,2,"TARAPACÁ","","1","","1",1

"H","35 A 39","ALEMANIA",2022,3,"ANTOFAGASTA","6","1","","1",7

"H","35 A 39","ALEMANIA",2022,4,"ATACAMA","","1","","1",1

"H","35 A 39","ALEMANIA",2022,5,"COQUIMBO","4","","","",4

"H","35 A 39","ALEMANIA",2022,6,"VALPARAÍSO","20","4","","4",24

"H","35 A 39","ALEMANIA",2022,7,"METROPOLITANA DE SANTIAGO","157","10","3","13",170

"H","35 A 39","ALEMANIA",2022,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","7","2","","2",9

"H","35 A 39","ALEMANIA",2022,9,"MAULE","2","1","","1",3

"H","35 A 39","ALEMANIA",2022,10,"ÑUBLE","2","","","",2

"H","35 A 39","ALEMANIA",2022,11,"BIOBÍO","7","3","","3",10

"H","35 A 39","ALEMANIA",2022,12,"LA ARAUCANÍA","6","","","",6

"H","35 A 39","ALEMANIA",2022,13,"LOS RÍOS","6","1","","1",7

"H","35 A 39","ALEMANIA",2022,14,"LOS LAGOS","5","1","","1",6

"H","35 A 39","ALEMANIA",2022,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","1","","1",2

"H","35 A 39","ALEMANIA",2022,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","4","","","",4

"H","35 A 39","ALEMANIA",2022,17,"REGIÓN IGNORADA","","6","2","8",8

"H","35 A 39","ALEMANIA",2023,3,"ANTOFAGASTA","7","2","","2",9

"H","35 A 39","ALEMANIA",2023,4,"ATACAMA","","1","","1",1

"H","35 A 39","ALEMANIA",2023,5,"COQUIMBO","5","","","",5

