CODREGEO,REGION,ANIO,estimation,rate,rate_lag1,pct_women_lag1,mean_age_lag1,pct_irregular_lag1,pct_venezuela_lag1,pct_peru_lag1,pct_colombia_lag1,pct_haiti_lag1,pct_bolivia_lag1
10,ÑUBLE,2022,12849,0.008042779650747192,0.007742131396338881,0.44911242603550294,33.854945054945055,0.0327134404057481,0.3830938292476754,0.042265426880811495,0.06458157227387996,0.25198647506339816,0.016483516483516484
10,ÑUBLE,2023,14314,0.007921942796422563,0.008042779650747192,0.4512413417386567,33.61021170610212,0.058214647054245464,0.4142734843178457,0.043738812358938436,0.0670869328352401,0.22748852050743248,0.018678496381041326
11,BIOBÍO,2019,33906,0.024374078046508152,0.02129828379575411,0.4518088710619572,31.824954242766463,0.009034619728182562,0.3627088282253982,0.05451925698041201,0.0851279255422719,0.13158612095486585,0.013474044939444683
11,BIOBÍO,2020,36448,0.02460820507557733,0.024374078046508152,0.46732141803810534,32.05801333097387,0.017519023181737745,0.47885330030083173,0.04397451778446293,0.07674157966141686,0.10431781985489294,0.011177962602489235
11,BIOBÍO,2021,37575,0.02459092030578474,0.02460820507557733,0.47297519754170325,32.55451901443231,0.044282265144863914,0.5006584723441615,0.0408801580333626,0.07599868305531168,0.09668568920105355,0.01056299385425812
11,BIOBÍO,2022,40344,0.025253163843859033,0.02459092030578474,0.47608782435129743,33.056902563010674,0.059347970725216234,0.5014770459081836,0.04154357950765136,0.0782168995342648,0.092375249500998,0.010778443113772455
11,BIOBÍO,2023,50463,0.02792825201452227,0.025253163843859033,0.4729327781082689,32.49623221456547,0.10653380924053144,0.5137814792782074,0.042112829664882015,0.08028455284552846,0.08318461233392822,0.010980567122744398
12,LA ARAUCANÍA,2019,20745,0.014913002096231098,0.014893620550658382,0.4436153032243693,33.22993818566576,0.0068496964971877265,0.15069332293812998,0.03252213621428969,0.061368825527649384,0.22236453750626498,0.010135323272261514
12,LA ARAUCANÍA,2020,21688,0.014642854249317414,0.014913002096231098,0.4532658471920945,33.73641841407568,0.009496264160038563,0.2274765003615329,0.03186309954205833,0.0633405639913232,0.19344420342251145,0.009785490479633646
12,LA ARAUCANÍA,2021,22064,0.014439762225597725,0.014642854249317414,0.4598856510512726,34.32228165636816,0.028218369605311693,0.24575802286978973,0.03112320177056437,0.06533566949465142,0.18148284765769088,0.01115824419033567
12,LA ARAUCANÍA,2022,22857,0.014307246826766951,0.014439762225597725,0.46528281363306745,34.935409301060645,0.04396301667875272,0.2555746918056563,0.03154459753444525,0.06626178390137781,0.1696881798404641,0.012101160261058739
12,LA ARAUCANÍA,2023,25227,0.013961635526432304,0.014307246826766951,0.4650654066587916,34.98556051457075,0.06536290851817823,0.2739642122763267,0.03263770398564991,0.07030668941680886,0.15535722098263113,0.012862580391127445
13,LOS RÍOS,2019,8010,0.005758165668392918,0.005686398757883492,0.43013418903150524,33.0529463243874,0.011085180863477246,0.16788214702450407,0.024941656942823805,0.08576429404900816,0.2310385064177363,0.014148191365227538
13,LOS RÍOS,2020,8262,0.005578165889333294,0.005758165668392918,0.44619225967540577,33.4,0.014731585518102372,0.24981273408239701,0.02634207240948814,0.08439450686641697,0.1940074906367041,0.01348314606741573
13,LOS RÍOS,2021,8404,0.0054999892015918815,0.005578165889333294,0.45715323166303556,34.02348099733721,0.03328491890583394,0.2638586298717018,0.02420721374969741,0.08472524812394093,0.1784071653352699,0.014524328249818447
13,LOS RÍOS,2022,8756,0.005480782833056456,0.0054999892015918815,0.4565683008091385,34.78605425987625,0.03998096144693003,0.26653974297953353,0.026653974297953357,0.08781532603522132,0.16753926701570682,0.015111851499286054
13,LOS RÍOS,2023,9379,0.005190715487470114,0.005480782833056456,0.4582000913659205,35.047967108268615,0.06155778894472362,0.2997944266788488,0.02683873915029694,0.09090909090909091,0.14858382823206945,0.016217450890817726
14,LOS LAGOS,2019,25525,0.01834921082218842,0.016838574618225008,0.44552260860998916,33.32055955078317,0.00758545956063442,0.25386661412668704,0.03009555708797163,0.09634518766623978,0.1915082257905625,0.008275046793419368
14,LOS LAGOS,2020,28108,0.018977376763178434,0.01834921082218842,0.4525759059745348,33.554084231145936,0.010029382957884426,0.3674828599412341,0.027541625857002937,0.08693437806072478,0.16191968658178257,0.008148873653281097
