CODREGEO,REGION,ANIO,estimation,rate,rate_lag1,pct_women_lag1,mean_age_lag1,pct_irregular_lag1,pct_venezuela_lag1,pct_peru_lag1,pct_colombia_lag1,pct_haiti_lag1,pct_bolivia_lag1,sol_total_lag1,sol_otorgadas_lag1,sol_pct_otorga_lag1,sol_share_lag1,macro_inflacion_origen_lag1,macro_crecimiento_pib_origen_lag1,macro_desempleo_origen_lag1,censo_n_migrantes,censo_mean_edad,censo_mean_escolaridad,censo_pct_mujer,censo_pct_urbano,censo_pct_llegada_reciente,censo_pct_ocupado,censo_pct_venezuela
4,ATACAMA,2022,22086,0.0138246424909644,0.0131956547205731,0.4928830035213014,32.09616624510242,0.0497941774537519,0.1729405346426623,0.104597530129445,0.2034419481227992,0.0179536775281456,0.3261419431632197,249.0,164.0,0.6586345381526104,0.007746811525743977,3.5081612854967426,6.816435165717143,7.678632071109285,10327,26.176430715599885,9.277761613810494,0.5096349375423647,0.947516219618476,0.3505374261644233,0.4540257726964441,0.3704851360511281
4,ATACAMA,2023,27266,0.0150901000619853,0.0138246424909644,0.4907633795164357,31.59320805976908,0.0824504210812279,0.1793443810558725,0.0992031150955356,0.2012587159286425,0.0155754776781671,0.3392646925654261,921.0,915.0,0.993485342019544,0.009791227488202374,6.812370097240637,3.6383743821337524,5.853117845908258,10327,26.176430715599885,9.277761613810494,0.5096349375423647,0.947516219618476,0.3505374261644233,0.4540257726964441,0.3704851360511281
5,COQUIMBO,2021,36308,0.023761733452094,0.023683912034849,0.4703098720031928,32.88274367819369,0.0443855298041563,0.3135209099461216,0.0860343795433165,0.1599247412982126,0.1421078137917272,0.0756578009635394,2016.0,1162.0,0.5763888888888888,0.015735236367083294,6.799976345422661,-4.823375770547203,10.469409891558325,18791,27.50944601138843,9.885062373387354,0.5040710978659997,0.9225160981320844,0.3469746155074237,0.5377283135417221,0.5635144484061518
5,COQUIMBO,2022,39326,0.0246159508557307,0.023761733452094,0.4740002203371158,33.40700749228735,0.0558003745730968,0.3163214718519334,0.084802247438581,0.1649498733061584,0.1346259777459513,0.0781370496860196,616.0,458.0,0.7435064935064936,0.0216343882853094,6.70156953515759,4.77727544493026,9.188183209419389,18791,27.50944601138843,9.885062373387354,0.5040710978659997,0.9225160981320844,0.3469746155074237,0.5377283135417221,0.5635144484061518
5,COQUIMBO,2023,48871,0.0270471752412999,0.0246159508557307,0.4717998270864059,32.92108743197193,0.1008493108884707,0.3366983674922443,0.0807608198138636,0.1644713421146315,0.120505517977928,0.0804048212378579,2438.0,2364.0,0.9696472518457753,0.025296679543290068,11.786266173866824,2.3929237809924575,7.443560874926284,18791,27.50944601138843,9.885062373387354,0.5040710978659997,0.9225160981320844,0.3469746155074237,0.5377283135417221,0.5635144484061518
6,VALPARAÍSO,2021,101146,0.066194896214209,0.066802283658715,0.4601336122818188,33.228207253467026,0.036788858231507,0.357185450208706,0.0518076063996442,0.0766198720475425,0.1884115096570753,0.0345754626401059,7528.0,4902.0,0.6511689691817216,0.06638048939022574,9.29687179268479,-4.137817601483609,10.354106738382745,36134,27.93042563790336,9.980182377560354,0.5094924447888415,0.9415232191287984,0.3316820722864891,0.5302262468499903,0.6156251729672885
6,VALPARAÍSO,2022,106355,0.0665724826644266,0.066194896214209,0.4660391908726,33.834275995728355,0.0589642694718525,0.3599549166551322,0.0524588219010143,0.0784015185968797,0.1816977438554169,0.0358689419255333,1990.0,1424.0,0.7155778894472362,0.06726499763816722,9.07971932703306,3.4999789061933333,9.262898875461564,36134,27.93042563790336,9.980182377560354,0.5094924447888415,0.9415232191287984,0.3316820722864891,0.5302262468499903,0.6156251729672885
6,VALPARAÍSO,2023,122433,0.067759342070309,0.0665724826644266,0.4650745145973391,33.555415546068346,0.0949649757886324,0.3727422312068074,0.0523811762493535,0.081359597574162,0.169517183019134,0.0384091015937191,5560.0,5367.0,0.9652877697841726,0.057431167135718185,15.416187126303171,1.6947568435462643,7.729239747002662,36134,27.93042563790336,9.980182377560354,0.5094924447888415,0.9415232191287984,0.3316820722864891,0.5302262468499903,0.6156251729672885
7,METROPOLITANA DE SANTIAGO,2021,942503,0.6168201240442591,0.6203329615456286,0.496992256161603,33.65127472247589,0.0187832976888206,0.3496993344543668,0.1949509955974945,0.1035105763527228,0.123236412910388,0.0274870890677463,71337.0,50988.0,0.7147483073299971,0.6904545885411729,5.643365534645788,-4.899981645704605,9.676910998381226,305004,28.731019921050216,10.411036742089768,0.5201243262383444,0.9868591887319512,0.3293694508924473,0.5588299949144478,0.5772580031737289
7,METROPOLITANA DE SANTIAGO,2022,976302,0.6111122934534816,0.6168201240442591,0.4971336961261662,34.40050188338904,0.0242280395924469,0.3480264784303074,0.1944725905381733,0.1055253935531239,0.1216537241791272,0.0289792181032845,17763.0,13894.0,0.7821876935202386,0.6563060935285782,5.875964133072735,5.107872863556798,8.494090615146977,305004,28.731019921050216,10.411036742089768,0.5201243262383444,0.9868591887319512,0.3293694508924473,0.5588299949144478,0.5772580031737289
